,number_of_qubits,qft_variant,process_fidelity
250,26,QCTRLFowlerQFT,0.18305672805897696
251,26,QCTRLFowlerQFT,0.18975476668787836
252,26,QCTRLFowlerQFT,0.18834840538700318
253,26,QCTRLFowlerQFT,0.18689982075748404
254,26,QCTRLFowlerQFT,0.186621288340486
255,26,QCTRLFowlerQFT,0.19224186668139095
256,26,QCTRLFowlerQFT,0.1914245542752243
257,26,QCTRLFowlerQFT,0.1886757384861786
258,26,QCTRLFowlerQFT,0.18773108209871442
259,26,QCTRLFowlerQFT,0.1920641086578288
260,28,QCTRLFowlerQFT,0.13584501235062468
261,28,QCTRLFowlerQFT,0.13648674010002515
262,28,QCTRLFowlerQFT,0.13824593628647452
263,28,QCTRLFowlerQFT,0.13549185591547785
264,28,QCTRLFowlerQFT,0.14069068623621375
265,28,QCTRLFowlerQFT,0.13777101086498067
266,28,QCTRLFowlerQFT,0.13347600055755546
267,28,QCTRLFowlerQFT,0.14273424908592347
268,28,QCTRLFowlerQFT,0.13781964604723548
269,28,QCTRLFowlerQFT,0.13732590576975343
270,28,QCTRLFowlerQFT,0.135860413587778
271,28,QCTRLFowlerQFT,0.14121411748014537
272,28,QCTRLFowlerQFT,0.13659581161958498
273,28,QCTRLFowlerQFT,0.13804206439064337
274,28,QCTRLFowlerQFT,0.13218245241220528
275,28,QCTRLFowlerQFT,0.13372351241610844
276,28,QCTRLFowlerQFT,0.14056447929298294
277,28,QCTRLFowlerQFT,0.14384559290729532
278,28,QCTRLFowlerQFT,0.14134637088175567
279,28,QCTRLFowlerQFT,0.13621301706783132
280,30,QCTRLFowlerQFT,0.09738347062743367
281,30,QCTRLFowlerQFT,0.10001614671134679
282,30,QCTRLFowlerQFT,0.09724983081639202
283,30,QCTRLFowlerQFT,0.09353563993325745
284,30,QCTRLFowlerQFT,0.09823988685472687
285,30,QCTRLFowlerQFT,0.09746393041653299
286,30,QCTRLFowlerQFT,0.10392572871419432
287,30,QCTRLFowlerQFT,0.09469944744725388
288,30,QCTRLFowlerQFT,0.09651525878168132
289,30,QCTRLFowlerQFT,0.0953761179263354
290,30,QCTRLFowlerQFT,0.09935603481945061
291,30,QCTRLFowlerQFT,0.10051197404386358
292,30,QCTRLFowlerQFT,0.09299244589931696
293,30,QCTRLFowlerQFT,0.09560438228747013
294,30,QCTRLFowlerQFT,0.09794448040114202
295,30,QCTRLFowlerQFT,0.09435114287693121
296,30,QCTRLFowlerQFT,0.0924106635218695
297,30,QCTRLFowlerQFT,0.09517614550710606
298,30,QCTRLFowlerQFT,0.09430771434081524
299,30,QCTRLFowlerQFT,0.09517032591026675
300,32,QCTRLFowlerQFT,0.06742416166912144
301,32,QCTRLFowlerQFT,0.06983970687742341
302,32,QCTRLFowlerQFT,0.0701711566401621
303,32,QCTRLFowlerQFT,0.06947569275700012
304,32,QCTRLFowlerQFT,0.06687275528777437
305,32,QCTRLFowlerQFT,0.06619617705780619
306,32,QCTRLFowlerQFT,0.06844453713721757
307,32,QCTRLFowlerQFT,0.06826803669868887
308,32,QCTRLFowlerQFT,0.06395429959616684
309,32,QCTRLFowlerQFT,0.0655687734789235
310,32,QCTRLFowlerQFT,0.07003553957665759
311,32,QCTRLFowlerQFT,0.0670730854699048
312,32,QCTRLFowlerQFT,0.0668415852466527
313,32,QCTRLFowlerQFT,0.06694698456195086
314,32,QCTRLFowlerQFT,0.06883853091865312
315,32,QCTRLFowlerQFT,0.06913484065836048
316,32,QCTRLFowlerQFT,0.0701954977377841
317,32,QCTRLFowlerQFT,0.06827358087721497
318,32,QCTRLFowlerQFT,0.06788046729881526
319,32,QCTRLFowlerQFT,0.06884861852096039
320,34,QCTRLFowlerQFT,0.04172248134229296
321,34,QCTRLFowlerQFT,0.04239609210026865
322,34,QCTRLFowlerQFT,0.04337741563804056
323,34,QCTRLFowlerQFT,0.04284753117302815
324,34,QCTRLFowlerQFT,0.045881630666204584
325,34,QCTRLFowlerQFT,0.042475321029202276
326,34,QCTRLFowlerQFT,0.04275037755831144
327,34,QCTRLFowlerQFT,0.04384406183308507
328,34,QCTRLFowlerQFT,0.04308113170327922
329,34,QCTRLFowlerQFT,0.04328754652845733
330,34,QCTRLFowlerQFT,0.04352041243440407
331,34,QCTRLFowlerQFT,0.04403048311388159
332,34,QCTRLFowlerQFT,0.042463335222517204
333,34,QCTRLFowlerQFT,0.044976665753399425
334,34,QCTRLFowlerQFT,0.038375225849922846
335,34,QCTRLFowlerQFT,0.044640964334067244
336,34,QCTRLFowlerQFT,0.03999718088277822
337,34,QCTRLFowlerQFT,0.041713295003793074
338,34,QCTRLFowlerQFT,0.040201957268135066
339,34,QCTRLFowlerQFT,0.04327057179955243
