number_of_qubits,qft_variant,process_fidelity,backend,bootstrap sample size,number bootstrap samples,data file
8,Fowler QFT,0.7803443133050086,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Fowler QFT,0.7826282259893127,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Fowler QFT,0.7873203646743746,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Fowler QFT,0.7841277237985299,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Fowler QFT,0.7840922387977398,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Fowler QFT,0.7813746289932082,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Fowler QFT,0.786005926246845,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Fowler QFT,0.7831299007898177,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Fowler QFT,0.7815647911591694,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Fowler QFT,0.7842168877168746,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Fowler QFT,0.7823597928861735,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Fowler QFT,0.7836009889663994,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Fowler QFT,0.7866178612703515,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Fowler QFT,0.7347327741867531,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Fowler QFT,0.7284371011559191,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Fowler QFT,0.7285872980111165,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Fowler QFT,0.732817649192712,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Fowler QFT,0.7375655682281905,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Fowler QFT,0.7219340051244281,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Fowler QFT,0.7254802020121619,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Fowler QFT,0.7319504347359859,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Fowler QFT,0.7279115165102847,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Fowler QFT,0.7328945142879979,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Fowler QFT,0.7265339502963334,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Fowler QFT,0.7286993085620114,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Fowler QFT,0.7346515323636434,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Fowler QFT,0.7321270887155885,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Fowler QFT,0.7242479077359804,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_linear_fowler_non_synchronized_layouting_dd_10-02-2026.json.gz
