number_of_qubits,qft_variant,process_fidelity,backend,bootstrap sample size,number bootstrap samples,data file
6,Twine Heavy-Hex QFT,0.8586597715183603,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
6,Twine Heavy-Hex QFT,0.8561268789001918,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
6,Twine Heavy-Hex QFT,0.8580284792822097,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
6,Twine Heavy-Hex QFT,0.8565613124311993,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
6,Twine Heavy-Hex QFT,0.8553754159091895,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
6,Twine Heavy-Hex QFT,0.8532966201672695,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
6,Twine Heavy-Hex QFT,0.8567801262975094,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
6,Twine Heavy-Hex QFT,0.8576766418604725,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
6,Twine Heavy-Hex QFT,0.844065007988353,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
6,Twine Heavy-Hex QFT,0.8489512782137749,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
6,Twine Heavy-Hex QFT,0.8501655073247781,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
6,Twine Heavy-Hex QFT,0.8558035207062687,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
6,Twine Heavy-Hex QFT,0.8568775459422415,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
